technique,model,F1-Score,Processing Time,ROC AUC,Memory Usage,Precision,Recall
PCA,MLP,0.9498798149181381,191.16608333587646,0.8530191269917298,2.4296875,0.933919512528984,0.9663951120162932
PCA,MLP,0.9363125223852444,174.70172929763794,0.8465298885511652,2.4921875,0.9162895458372912,0.9572301425661914
PCA,MLP,0.9257911333507043,177.7373559474945,0.8151016033423015,2.421875,0.9026934930583498,0.9501018329938901
PCA,MLP,0.9348078001634841,180.63010096549988,0.8144240532976695,2.37890625,0.91434103060797,0.9562118126272913
PCA,Tree,0.931112221240185,1.980755090713501,0.7152202760084925,1.9453125,0.9195456097962075,0.9429735234215886
PCA,Tree,0.9312565849076899,1.9501240253448486,0.5992520494340838,1.87109375,0.9184578425402958,0.9460285132382892
PCA,Tree,0.9317907338392878,1.8785617351531982,0.6883964915681333,1.84375,0.9206852179429784,0.9460285132382892
PCA,Tree,0.9317517011348444,1.9807791709899902,0.6126202016536637,1.953125,0.9252090821835887,0.9389002036659878
PCA,Tree,0.9350472999751407,1.9207041263580322,0.6169853925066904,1.9140625,0.9285819087317465,0.9419551934826884
PCA,Tree,0.9273103406745012,2.0290465354919434,0.675782701597919,1.93359375,0.9132422172268132,0.9439918533604889
PCA,Tree,0.9478703508929518,2.181694269180298,0.7813353189377016,1.85546875,0.942591837532045,0.9541751527494908
PCA,Tree,0.9411919775159552,2.1610748767852783,0.7073095060809135,2.10546875,0.9314689198969888,0.9511201629327902
PCA,Tree,0.9150125139103215,1.8235983848571777,0.6506545064377683,1.85546875,0.9051524690897272,0.9256619144602851
PCA,Tree,0.9381460156843743,2.007582426071167,0.687073442640781,1.87890625,0.9321451632398081,0.945010183299389
PCA,KNN,0.9589492643525641,10.367128849029541,0.7529377545084351,2.1015625,0.9457661532845807,0.9725050916496945
PCA,KNN,0.9318000188913735,15.1947021484375,0.6669156883671291,1.953125,0.9104502221245142,0.9541751527494908
PCA,KNN,0.942825402703203,11.097957849502563,0.6064493064493065,1.890625,0.9259892347977887,0.960285132382892
PCA,KNN,0.9472632320279543,9.457028865814209,0.6982910500352361,2.11328125,0.9472650567355252,0.9633401221995926
PCA,KNN,0.921290339074044,12.21266222000122,0.6615591397849463,1.92578125,0.89689772317188,0.9470468431771895
PCA,KNN,0.9348078001634841,10.61074161529541,0.6943804641256162,1.93359375,0.91434103060797,0.9562118126272913
PCA,KNN,0.9417990787487046,10.490529298782349,0.6793126326963908,1.9609375,0.9618640109120125,0.960285132382892
PCA,KNN,0.9438444148275603,14.179352521896362,0.6898612898612899,1.90625,0.9260632318598313,0.9623217922606925
PCA,KNN,0.9453524435693098,11.842446088790894,0.7159971811134602,2.06640625,0.9280241910395262,0.9633401221995926
PCA,KNN,0.9267834068055282,11.498769044876099,0.7176347251962885,1.91796875,0.9045821733091676,0.9501018329938901
PCA,LogReg,0.9272925179323862,1.1701724529266357,0.8662562455389007,3.109375,0.9046295643372974,0.9511201629327902
PCA,LogReg,0.9589492643525641,1.3728861808776855,0.8472367655613728,3.03125,0.9457661532845807,0.9725050916496945
PCA,LogReg,0.9544120961168667,1.2980473041534424,0.8480392156862745,3.11328125,0.9398334999440022,0.9694501018329938
PCA,LogReg,0.9227900430434703,0.9451475143432617,0.8464438406941723,3.0703125,0.8988275724756409,0.9480651731160896
PCA,LogReg,0.9333036320434487,0.9667389392852783,0.8579182012017833,2.9609375,0.9123945893703775,0.955193482688391
PCA,LogReg,0.9272925179323862,0.9768271446228027,0.8825169521770164,3.23828125,0.9046295643372974,0.9511201629327902
PCA,LogReg,0.9227900430434703,1.043745517730713,0.8432004380699648,2.609375,0.8988275724756409,0.9480651731160896
PCA,LogReg,0.9559239436471475,1.0542411804199219,0.8372471686507219,3.01953125,0.9418089770657995,0.9704684317718941
PCA,LogReg,0.9468610203993288,1.1228885650634766,0.8781414994720169,3.0234375,0.9299872242109499,0.9643584521384929
PCA,LogReg,0.9348078001634841,1.0433776378631592,0.8554622681229413,2.71484375,0.91434103060797,0.9562118126272913
IncPCA,Naive Bayes,0.9483257911583003,0.1405797004699707,0.8689511392999765,2.05859375,0.9437413202775573,0.9541751527494908
IncPCA,Naive Bayes,0.9493650068879198,0.10401296615600586,0.8038736813540925,1.90234375,0.9449798027700268,0.9541751527494908
IncPCA,Naive Bayes,0.9401060966214868,0.0807642936706543,0.8363183950649283,2.06640625,0.9327170699618292,0.9511201629327902
IncPCA,Naive Bayes,0.9335897246149077,0.09073042869567871,0.8242381121783471,1.92578125,0.9259567220361518,0.9439918533604889
IncPCA,Naive Bayes,0.9305715348736302,0.09380269050598145,0.8201588995612475,1.81640625,0.9221948696274278,0.9409368635437881
IncPCA,Naive Bayes,0.9366018690250888,0.08892416954040527,0.8634554140127388,1.89453125,0.9270017853243947,0.9480651731160896
IncPCA,Naive Bayes,0.9179957595444812,0.09346961975097656,0.8430740717339568,2.125,0.9052919206925958,0.9327902240325866
IncPCA,Naive Bayes,0.932078299276095,0.09569168090820312,0.8007478632478633,1.91015625,0.9271592024715978,0.9378818737270875
IncPCA,Naive Bayes,0.9347955015184817,0.09975719451904297,0.8341152380705529,1.94921875,0.9225693605582062,0.9490835030549898
IncPCA,Naive Bayes,0.9327970054739101,0.07537245750427246,0.838593958483715,1.8203125,0.9265213280034408,0.9460285132382892
IncPCA,SVM,0.9378177978442966,26.553534746170044,0.6450584484590861,16.32421875,0.9182401350583413,0.9582484725050916
IncPCA,SVM,0.9287944609650814,29.205450773239136,0.7736261235635453,18.3203125,0.9065677096079741,0.9521384928716904
IncPCA,SVM,0.9468610203993288,23.895374059677124,0.6725599637954442,17.40625,0.9299872242109499,0.9643584521384929
IncPCA,SVM,0.9378177978442966,25.33056092262268,0.6909618724242503,17.49609375,0.9182401350583413,0.9582484725050916
IncPCA,SVM,0.9318000188913735,24.414114475250244,0.4581050634412427,15.86328125,0.9104502221245142,0.9541751527494908
IncPCA,SVM,0.9333036320434487,17.26523756980896,0.24663209924403953,15.3515625,0.9123945893703775,0.955193482688391
IncPCA,SVM,0.9287944609650814,25.339937686920166,0.7007395608146546,19.453125,0.9065677096079741,0.9521384928716904
IncPCA,SVM,0.9544120961168667,23.232086658477783,0.5498599439775911,18.578125,0.9398334999440022,0.9694501018329938
IncPCA,SVM,0.9363125223852444,18.105180978775024,0.7242147922998987,16.14453125,0.9162895458372912,0.9572301425661914
IncPCA,SVM,0.9242903080953506,19.791101217269897,0.2655579399141631,15.33203125,0.9007594957711309,0.9490835030549898
IncPCA,MLP,0.9167946024779183,198.7723639011383,0.8434441502402668,2.765625,0.8911206192109706,0.9439918533604889
